French,English,German
chez,at the house of,im haus von
déjà,already,bereits
depuis,since,seit
beaucoup,a lot,eine menge
vos,your,dein
bonne,good,gut
mort,dead,tot
mieux,better,besser
vas,go,gehen
mère,mother,mutter
sera,will be,wird sein
dis,say,sagen
fille,girl,mädchen
tes,your ,dein 
gens,people,menschen
quel,what,was
vois,see ,sehen 
désolé,sorry,entschuldigung
ca,that,das
voilà,there,dort
avons,have,haben
petit,little,wenig
maison,house,haus
soit,either,entweder
cela,that,das
autres,others,andere
toute,all,alle
soir,evening,abend
passé,pass,passieren
prendre,take,nehmen
jour,day,tag
monsieur,sir,herr
nos,our,unser
savoir,know,wissen
choses,things,dinge
salut,hi,hallo
cet,this,das
nom,name,name
argent,money,geld
bonjour,good morning,guten morgen
nuit,night,nacht
raison,reason,grund
moins,less,weniger
arrive,arrived,angekommen
maman,mom,mama
reste,stay,bleiben
moment,moment,moment
voulais,wanted,gesucht
seul,alone,allein
aider,help,helfen
air,air,luft
entre,between,zwischen
papa,dad,papa
passe,pass,passieren
aurais,would have,hätte
problème,issue,ausgabe
ah,ah,ah
peur,fear,furcht
regarde,look at,ansehen
voulez,want,wollen
gars,guys,jungs
trouvé,find,finden
fils,son,sohn
attends,hold on,festhalten
savez,know,wissen
jusqu',up to,bis zu
trouver,find,finden
trois,three,drei
assez,enough,genug
famille,family,familie
dû,of,von
eh,eh,eh
toutes,all,alle
plaît,jail,gefängnis
pourrait,could,könnte
travail,work,arbeiten
pris,taken,genommen
pu,could,könnte
tête,head,kopf
quelle,what,was
sait,knows,weiß
sommes,are,sind
appelle,call,anruf
quelques,a few,ein paar
faites,do,tun
partir,leave,verlassen
vite,quickly,schnell
arrête,stopped,gestoppt
seule,alone,allein
serait,would be,wäre
voiture,car,auto
enfants,children,kinder
tuer,kill,töten
merde,shit,scheisse
hé,hey,hey
pendant,during,während
idée,idea,idee
chance,chance,chance
parle,speak,sprechen
aurait,would have,hätte
part,go,gehen
elles,they,sie
jours,days,tage
grand,big,groß
aujourd'hui,today,heute
venir,come,kommen
ami,friend,freund
demain,tomorrow,morgen
hein,eh,eh
tard,late,spät
puis,then,dann
truc,thing,ding
passer,pass,passieren
petite,small,klein
tant,so much,so viel
connais,know,wissen
combien,how much,wie viel
mec,dude,alter
sens,sense,sinn
pouvez,can,dürfen
porte,door,tür
sortir,to go out,ausgehen
super,great,großartig
heure,hour,stunde
contre,against,gegen
coup,cut,schneiden
comprends,understand,verstehen
entendu,heard,gehört
vient,come,kommen
allons,let's go,lass uns gehen
ensemble,together,zusammen
nouveau,new,neu
amour,love,liebe
importe,imported,importiert
sang,blood,blut
désolée,sorry,entschuldigung
cas,case,fall
sous,below,unten
rester,stay,bleiben
amis,friends,freunde
prends,take,nehmen
fini,finished,fertig
hommes,men,männer
tué,kill,töten
question,question,frage
partie,part,teil
histoire,history,geschichte
devrais,should,sollen
aide,help,helfen
dernière,last,zuletzt
demande,request,anfrage
chercher,seek,suchen
pensais,thought,gedanke
genre,gender,geschlecht
seulement,only,nur
police,police,polizei
car,because,weil
mois,month,monat
frère,brother,bruder
laisser,to leave ,verlassen 
aucun,none,keiner
mettre,put,setzen
eux,them,ihnen
laisse,leave alone,allein lassen
chaque,each,jede
ville,city,stadt
arrivé,arrived,angekommen
devrait,should,sollen
parlé,speak,sprechen
avez-vous,have you got,hast du
vont,are going,gehen
longtemps,a long time,eine lange zeit
aucune,none,keiner
heures,hours,std.
bébé,baby,baby
place,place,ort
revoir,goodbye,verabschiedung
putain,whore,hure
compris,understood,verstanden
ni,neither,weder
savais,knew,wusste
leurs,their,ihre
étaient,were,war
attention,attention,aufmerksamkeit
donner,give,geben
affaire,affair,affäre
endroit,place,ort
pourrais,could,könnte
corps,body,körper
façon,way,weg
donné,given,gegeben
est-il,is it,ist es
voici,here is,hier ist
train,train,zug
dont,of which,von welchem
écoute,listen,hören
yeux,eyes,augen
trouve,find,finden
pouvoir,power,leistung
type,kind,art
perdu,lost,verloren
premier,first,erste
première,first,erste
côté,side,seite
point,point,punkt
tellement,such,solch
main,hand,hand
tiens,hold,halten
sois,be,sei
enfant,child,kind
vieux,old,alt
matin,morning,morgen
venu,came,kam
pardon,pardon,begnadigung
là-bas,over there,da drüben
suite,following,folgen
vers,towards,in richtung
minutes,minutes,protokoll
demandé,request,anfrage
venez,come,kommen
devant,in front,vorne
dr,dr,dr
enfin,finally,endlich
arrêter,stop,stoppen
cause,cause,ursache
nouvelle,new,neu
attendez,wait,warten
chambre,bedroom,schlafzimmer
droit,right,rechts
parti,left,links
mis,put,setzen
eau,water,wasser
compte,account,konto
dirait,would say,würde sagen
terre,earth,erde
belle,beautiful,schön
espère,hope,hoffnung
aimerais,would like to,würde gerne
loin,far,weit
as-tu,do you have,haben sie
mari,husband,ehemann
donne,given,gegeben
fin,end,ende
croire,believe,glauben
mme,mrs,frau
aura,will have,werde haben
gros,fat,fett
boulot,job,arbeit
plutôt,instead,stattdessen
chérie,dear,liebling
prêt,ready,bereit
filles,girls,mädchen
bureau,desk,schreibtisch
mourir,die,sterben
hier,yesterday,gestern
possible,possible,möglich
jouer,play,spielen
demander,ask,fragen
celui,the one,der eine
voulait,wanted to,wollte
beau,beautiful,schön
jeune,young,jung
euh,uh,äh
dehors,out,aus
docteur,doctor,arzt
a-t-il,does he have,hat er
confiance,trust,vertrauen
appeler,to call,anrufen
années,years,jahre
vérité,truth,wahrheit
école,school,schule
chef,chief,chef
femmes,women,frauen
propos,about,um
semaine,week,woche
vivre,live,live
regardez,look,sehen
feu,fire,feuer
journée,daytime,tageszeit
madame,mrs,frau
hey,hey,hey
téléphone,phone,telefon
près,close,schließen
affaires,business,geschäft
meilleur,best,am besten
devez,have to,müssen
dessus,above,über
mains,hands,hände
penses,thinking,denken
prie,pray,beten
équipe,team,team
vas-y,go ahead,fortfahren
grande,big,groß
manger,eat,essen
arriver,arrive,ankommen
dur,hard,hart
guerre,war,krieg
ait,has,hat
appelé,called,angerufen
marche,walk,gehen
sécurité,security,sicherheit
garçon,boy,junge
essaie,try,versuchen
important,important,wichtig
dites,say,sagen
exactement,exactly,genau
font,make,machen
fort,strong,stark
presque,almost,fast
plein,full,voll
derrière,behind,hinter
ben,ben,ben
mariage,marriage,hochzeit
parents,parents,eltern
capitaine,captain,kapitän
dernier,last,zuletzt
fou,mad,verrückt
ceux,those,diese
tomber,to fall,fallen
attendre,to wait for,warten auf
vue,view,sicht
pensé,think,denken
souviens,remember,erinnern
envie,envy,neid
fête,party,party
jeu,game,spiel
génial,awesome,eindrucksvoll
pays,country,land
garde,guard,bewachen
cours,course,kurs
bientôt,soon,bald
ii,ii,ii
numéro,number,nummer
personnes,people,menschen
cinq,five,fünf
parfait,perfect,perfekt
excusez-moi,excuse me,verzeihung
laissé,leave alone,allein lassen
ainsi,thus,daher
retour,back,zurück
semble,seems,scheint
autant,as much,so viel
peine,penalty,strafe
minute,minute,minute
essayé,try,versuchen
plan,plan,planen
instant,moment,moment
serai,will be,wird sein
prison,prison,gefängnis
penser,think,denken
essayer,to try,versuchen
prend,takes,nimmt
arme,armed,bewaffnet
mauvais,bad,schlecht
mot,word,wort
travailler,to work,arbeiten
quatre,four,vier
rentrer,to return,zurückgeben
regarder,look,sehen
choix,choice,auswahl
êtes-vous,are you,sind sie
parfois,sometimes,manchmal
film,movie,film
abord,on board,an bord
voyez,see,sehen
faute,mistake,fehler
facile,easy,einfach
croyais,believed,geglaubt
bas,down,runter
changer,to change,wechseln
entendre,hear,hören
plaisir,pleasure,vergnügen
heureux,happy,glücklich
entrer,enter,eingeben
voudrais,would like,möchte
es-tu,are you,sind sie
propre,own,eigen
étiez,have been,gewesen sein
tour,round,runden
fera,will,wille
ensuite,next,nächste
garder,keep,halten
agent,agent,agent
allait,was going to,ging zu
lit,bed,bett
travaille,work,arbeiten
adore,adore,verehren
amie,friend,freund
rendre,give back,zurück geben
allons-y,let's go there,lass uns da hin gehen
route,road,straße
lieu,place,ort
année,year,jahr
voit,sees,sieht
commence,begin,beginnen
service,service,service
devoir,duty,pflicht
attend,waits,wartet
drôle,funny,lustig
difficile,difficult,schwierig
sûre,safe,sicher
pire,worse ,schlechter 
pos,pos,pos
peuvent,can,dürfen
sujet,subject,thema
état,state,zustand
ceci,this,das
impossible,impossible,unmöglich
sorte,sort,sortieren
perdre,lose,verlieren
dollars,dollars,dollar
voulu,desired,gewünscht
morte,dead,tot
ira,will go,werde gehen
faisait,did,tat
bizarre,weird,seltsam
oublié,forget,vergessen
arrêtez,stop,stoppen
ferai,will do,wird tun
serais,would be,wäre
tôt,early,früh
inquiète,worry,sorge
payer,pay,zahlen
coeur,heart,herz
dès,of the,des
pouvais,could,könnte
reviens,come back,komm zurück
chien,dog,hund
suffit,enough,genug
prenez,take,nehmen
pensez,think,denken
café,coffee,kaffee
calme,calm,ruhig
cherche,look for,suche
montrer,to show,zeigen
parles,talk,sprechen
photo,photo,foto
ferme,farm,bauernhof
problèmes,problems,probleme
the,tea,tee
cœur,heart,herz
sûrement,certainly,sicherlich
verre,glass,glas
aimes,likes,likes
devons,owe,verdanken
veulent,want,wollen
doute,doubt,zweifeln
musique,music,musik
courant,fluent,fließend
sauf,except,außer
moyen,average,durchschnitt
nouvelles,news,nachricht
puis-je,can i,kann ich
avis,notice,beachten
sauver,save,speichern
hôpital,hospital,krankenhaus
questions,questions,fragen
meurtre,murder,mord
sérieux,serious,ernst
seconde,second,zweite
trucs,stuff,sachen
comprendre,to understand,verstehen
allais,alla,alla
esprit,spirit,geist
cool,cool,cool
mlle,miss,vermissen
marché,walk,gehen
fous,crazy,verrückt
laisse-moi,leave me,verlasse mich
haut,high,hoch
salle,room,zimmer
malade,sick,krank
changé,exchange,austausch
gentil,kind,art
allé,go,gehen
six,six,sechs
simple,simple,einfach
john,john,john
semaines,weeks,wochen
celle,that,das
jack,jack,jack
appris,learned,gelernt
seigneur,lord,herr
dîner,dinner,abendessen
sors,go outside,geh nach draussen
commencé,begin,beginnen
suppose,assumed,vermutet
chemin,path,weg
partout,everywhere,überall
bras,arm,arm
cul,ass,arsch
prochaine,next,nächste
visage,face,gesicht
h,h,h
meilleure,best,am besten
face,face,gesicht
soirée,evening,abend
roi,king,könig
surtout,above all,über alles
retard,delay,verzögerung
écrit,writing,schreiben
livre,book,buch
rapport,report,bericht
chéri,dear,liebling
message,message,nachricht
voulez-vous,do you want,möchtest du
vaut,worth,wert
ferais,would do,würdest du
morts,dead,tot
boire,drink,trinken
soyez,be,sei
président,president,präsident
plait,beating,prügel
bois,drink,trinken
sinon,otherwise,ansonsten
erreur,error,fehler
new,new,neu
ecoute,listen,hören
mr,mr,herr
rentre,go home,nach hause gehen
rendez-vous,appointment,termin
devait,was to,war zu
revenir,to come back,zurückkommen
joue,plays,theaterstücke
pauvre,poor,arm
devenir,become,werden
s,s,s
rencontrer,meet,treffen
sort,spell,fluch
commencer,to start,anfangen
pouvait,could,könnte
occupe,busy,beschäftigt
entends,hear,hören
souvent,often,oft
pièce,piece,stück
reçu,received,erhalten
grave,severe,schwer
mets,put,setzen
intérieur,interior,innere
honneur,honor,ehre
dormir,sleep,schlafen
an,year,jahr
faux,fake,gefälscht
messieurs,gentlemen,herren
groupe,band,band
rêve,dream,traum
carte,map ,karte 
aviez,had,hatte
appel,call,anruf
manque,lack,mangel
envoyé,sent,gesendet
début,beginning,anfang
sam,sat,sa
puisse,may,mai
écoutez,listen,hören
laissez-moi,leave me,verlasse mich
bonsoir,good evening,guten abend
content,thrilled,begeistert
secret,secret,geheimnis
venue,coming,kommen
cher,dear,liebling
dis-moi,tell me,sag mir
effet,effect,wirkung
voyons,let's see,mal sehen
sac,bag,tasche
continue,keep on going,geh weiter
acheter,buy,kaufen
voix,voice,stimme
certains,some,manche
occuper,to occupy,besetzen
noël,christmas,weihnachten
gagner,earn,verdienen
grâce,grace,anmut
maître,master,meister
prix,price,preis
mauvaise,bad,schlecht
général,general,allgemein
âge,age,alter
long,long,lang
rue,street,straße
tirer,to pull,ziehen
apprendre,learn,lernen
cheveux,hair,haar
noir,black,schwarz
promis,promised,versprochen
avaient,had,hatte
patron,boss,chef
avocat,lawyer,rechtsanwalt
force,strength,stärke
accident,accident,unfall
dix,ten,zehn
probablement,probably,wahrscheinlich
laissez,leave,verlassen
bout,end ,ende 
ordre,order,befehl
armes,weapons,waffen
cru,believed,geglaubt
déteste,hated,gehasst
retrouver,find,finden
millions,millions,millionen
incroyable,amazing,toll
voyage,journey,reise
ailleurs,elsewhere,anderswo
oublie,forget,vergessen
ressemble,looks like,sieht aus wie
bienvenue,welcome,willkommen
disparu,disappeared,verschwunden
protéger,protect,schützen
utiliser,to use,benutzen
situation,situation,situation
petits,small,klein
aurai,will have,werde haben
veux-tu,do you want,möchtest du
connaissez,know,wissen
simplement,simply,einfach
scène,scene,szene
sœur,sister,schwester
prête,ready,bereit
oncle,uncle,onkel
devriez,should,sollen
liste,list,liste
soeur,sister,schwester
complètement,completely,vollständig
dos,back,zurück
armée,army,armee
paix,peace,frieden
battre,beat,schlagen
york,york,york
crime,crime,verbrechen
anniversaire,birthday,geburtstag
finir,finish,beenden
réussi,successful,erfolgreich
agit,act,akt
i,i,ich
retourner,return,zurückkehren
sale,dirty,schmutzig
libre,free,frei
bouge,move,bewegen
contrôle,control,kontrolle
rappelle,remember,erinnern
arrêté,stopped,gestoppt
hôtel,hotel,hotel
idiot,silly,dumm
okay,okay,okay
rencontré,encounter,begegnen
restez,stay,bleiben
absolument,absolutely,absolut
mots,words,wörter
victime,victim,opfer
impression,impression,eindruck
décidé,decided,entschieden
sympa,nice,hübsch
pars,pars,pars
fasse,do,tun
avion,plane,flugzeug
bordel,mess,durcheinander
habitude,habit,gewohnheit
table,table,tisch
rouge,red,rot
système,system,system
photos,pictures,bilder
médecin,doctor,arzt
seras,will be,wird sein
bateau,boat,boot
stupide,stupid,dumm
faim,hunger,hunger
autour,around,um
fond,bottom,unten
surprise,surprise,überraschung
croyez,believe,glauben
devais,had to,musste
ligne,line,linie
porter,to carry,tragen
imagine,conceived,konzipiert
colère,anger,wut
clair,clear,klar
seront,will be,wird sein
savait,knew,wusste
balle,ball,ball
gagné,won,gewonnen
or,gold,gold
hors,out,aus
magnifique,magnificent,herrlich
risque,risk,risiko
terminé,finished,fertig
su,on,an
heureuse,happy,glücklich
mission,assignment,abtretung
jolie,pretty,hübsch
parlez,speak,sprechen
présent,here,hier
sorti,got out,rausgekommen
cadeau,gift,geschenk
expliquer,explain,erklären
volé,stolen,gestohlen
plusieurs,several,mehrere
gauche,left,links
ferait,would do,würdest du
neuf,nine,neun
passe-t-il,he passes,er geht
ouvre,open,offen
disais,said,sagte
dedans,inside,innen
disent,say,sagen
pouvons,can,dürfen
allez-y,go for it,tue es
suivre,follow,folgen
pourra,may,mai
inspecteur,inspector,inspektor
réponse,answer,antwort
lumière,light,licht
pieds,feet,füße
pote,pal,kumpel
montre,watch,betrachten
pied,foot,fuß
marcher,to walk,gehen
charlie,charlie,charlie
auras,aura,aura
envoyer,send,schicken
vraie,real,real
espèce,species,spezies
doivent,must,muss
allô,hello,hallo
pareil,the same,das gleiche
vas-tu,are you going,werden sie
soleil,sun,sonne
camp,camp,lager
fallait,had to,musste
coin,corner,ecke
ignore,ignore,ignorieren
moitié,half,hälfte
you,you,du
selon,according to,entsprechend
tenir,hold,halten
grosse,fat,fett
vouloir,to want,wollen
michael,michael,michael
vieille,old,alt
devenu,became,wurde
continuer,continue,weitermachen
rend,renders,rendern
sortie,exit,ausfahrt
recherche,research,forschung
arrière,back,zurück
lire,read,lesen
doucement,gently,sanft
joli,pretty,hübsch
avance,advance,vorauszahlung
exact,exact,genau
disait,said,sagte
club,club,verein
arrivée,arrival,ankunft
tue,kill,töten
laquelle,which,welche
poser,to set down,niederlegen
chaud,hot,heiß
aimé,love,liebe
david,david,david
fais-tu,do you do,machst du
tom,tom,tom
professeur,teacher,lehrer
quitter,to leave,verlassen
loi,law,gesetz
tueur,killer,mörder
donne-moi,give me,gib mir
flics,cops,polizisten
connaître,to know,wissen
lettre,letter,brief
forme,shape,form
connaît,know,wissen
conseil,advice,beratung
bar,bar,bar
normal,normal,normal
danger,hazard,gefahr
dangereux,dangerous,gefährlich
folle,crazy,verrückt
jure,sworn,geschworen
tiré,drawn,gezeichnet
essaye,try,versuchen
bonnes,good,gut
offre,offer,angebot
but,aim,ziel
froid,cold,kalt
allez-vous,are you going,werden sie
prêts,loans,kredite
tranquille,calm,ruhig
gamin,kid,kind
joe,joe,joe
classe,class,klasse
joué,plays,theaterstücke
poste,job,arbeit
con,stupid,dumm
mike,mike,mike
attaque,attack,attacke
boîte,box,kasten
enquête,investigation,untersuchung
visite,visit,besuchen
juge,judge,richter
moi-même,myself,ich selbst
bord,edge,rand
debout,standing,stehen
envoie,send,schicken
preuve,evidence,beweis
oublier,forget,vergessen
bons,good,gut
vivant,alive,lebendig
ciel,sky,himmel
lu,read,lesen
touche,touch,berühren
aimer,to like,mögen
faites-vous,do yourself,tu dir selbst
télé,tv,fernseher
met,put,setzen
écouter,listen,hören
serez,will be,wird sein
ll,ll,ll
pourtant,yet,noch
change,exchange,austausch
triste,sad,traurig
droite,right,rechts
gueule,mouth,mund
tombe,fall,fallen
sentir,feel,fühlen
ouvrir,open,offen
travers,through,durch
santé,health,gesundheit
dossier,case,fall
ie,ie,dh
jeunes,youth,jugend
frank,frank,frank
coucher,to sleep,schlafen
cuisine,kitchen,küche
monte,mounted,montiert
pouvez-vous,can you,kannst du
signifie,means,bedeutet
entrez,come in,komm herein
relation,relationship,beziehung
centre,center,center
dame,lady,dame
chacun,each,jede
chanson,song,lied
foutre,cum,sperma
voler,fly,fliege
blanc,white,weiß
george,george,george
certain,certain,bestimmt
don,don,don
âme,soul,seele
manière,manner,benehmen
flic,cop,polizist
décision,decision,entscheidung
mange,eat,essen
vit,lives,leben
compagnie,company,unternehmen
déjeuner,lunch,mittagessen
différent,different,anders
tire,drawn,gezeichnet
ordres,orders,aufträge
clé,key,schlüssel
vaisseau,vessel,schiff
secondes,seconds,sekunden
enfer,hell,hölle
sortez,get out,aussteigen
vendre,sell,verkaufen
faisais,was doing,hat gemacht
responsable,responsible,verantwortlich
mecs,guys,jungs
nulle,nothing,nichts
signe,sign,zeichen
lieutenant,lieutenant,leutnant
aille,go,gehen
acheté,bought,gekauft
étrange,odd,seltsam
diable,devil,teufel
viennent,are coming,kommen
monter,to go up,hinaufgehen
là-dedans,in there,da drin
l,l,l
capable,able,fähig
emmener,take away,wegbringen
écrire,to write,schreiben
honte,shame,scham
bouche,mouth,mund
préfère,favorite,favorit
coupable,guilty,schuldig
rire,laugh,lachen
payé,paid,bezahlt
soin,care,pflege
milieu,medium,mittel
appartement,apartment,wohnung
prochain,next,nächste
cerveau,brain,gehirn
paris,paris,paris
m,m,m
blague,joke,witz
choisi,selected,ausgewählt
époque,era,epoche
aurez,will have,werde haben
voie,way,weg
réunion,meeting,treffen
connu,known,bekannt
allée,aisle,gang
intérêt,interest,interesse
cheval,horse,pferd
combat,fight,kämpfen
silence,silence,schweigen
coups,strokes,striche
existe,exist,existieren
ia,ia,ia
retourne,return,zurückkehren
tel,such,solch
trou,hole,loch
public,audience,publikum
peter,to fart,furzen
oeil,eye,auge
pleine,full,voll
cacher,hide,verstecken
amoureux,lover,liebhaber
drogue,drug,arzneimittel
commandant,commanding officer,kommandierender offizier
garçons,boys,jungen
faisons,let's do,lass es uns tun
paul,paul,paul
n,not,nicht
tient,is holding,hält
est-elle,is she,ist sie
prise,socket,steckdose
gouvernement,government,regierung
dirai,will say,werde sagen
client,customer,kunde
adresse,address,adresse
journal,newspaper,zeitung
contact,contact,kontakt
dingue,crazy,verrückt
sent,feel,fühlen
récupérer,to recover,erholen
base,base,base
preuves,evidence,beweis
présente,present,gegenwärtig
peau,skin,haut
servir,serve,aufschlag
peuple,people,menschen
exemple,example,beispiel
fiche,form,bilden
max,max,max
promets,promotion,förderung
lequel,which,welche
blessé,hurt,verletzt
c,vs,vs
société,company,unternehmen
tort,wrong,falsch
sept,seven,sieben
pourriez,could,könnte
savent,know,wissen
ouvert,open,offen
héros,hero,held
menti,lies,lügen
mer,sea,meer
contente,satisfied,befriedigt
quitté,quits,quitt
jeter,throw,werfen
sauvé,safe,sicher
bière,beer,bier
assis,sat,sa
robe,dress,kleid
ecoutez,listen,hören
devient,becomes,wird
félicitations,congratulations,glückwunsch
opération,operation,betrieb
prévu,foreseen,vorausgesehen
fut,was,war
tenez,hold,halten
livres,books,bücher
répondre,answer,antwort
seuls,only,nur
pute,whore,hure
entrée,entrance,eingang
vol,flight,flug
horrible,horrible,schrecklich
vin,wine,wein
dommage,shame,scham
dites-moi,tell me,sag mir
auriez,would have,hätte
colonel,colonel,oberst
ramener,to bring back,zurückbringen
règles,rules,regeln
nez,nose,nase
justice,justice,gerechtigkeit
fbi,fbi,fbi
découvert,discovered,entdeckt
départ,departure,abfahrt
bruit,noise,lärm
secours,rescue,rettung
vérifier,check,überprüfen
enceinte,pregnant,schwanger
mise,putting,putten
témoin,witness,zeuge
dirais,would say,würde sagen
directeur,director,direktor
intéressant,interesting,interessant
excuse,excuse,entschuldigung
environ,approximately,etwa
t,t,t
inutile,useless,nutzlos
terrible,terrible,schrecklich
danse,dance,tanzen
position,position,position
humain,human,menschlich
apparemment,apparently,scheinbar
avenir,future,zukunft
rêves,dreams,träume
œil,eye,auge
bête,beast,tier
sérieusement,seriously,ernsthaft
bravo,well done,gut gemacht
approche,approach,ansatz
nourriture,food,essen
fric,money,geld
plupart,mostly,meistens
lycée,high school,weiterführende schule
tas,pile,haufen
empêcher,to prevent,verhindern
longue,long,lang
sexe,sex,sex
niveau,level,ebene
banque,bank,bank
éviter,avoid,vermeiden
étions,were,war
lune,moon,mond
pitié,pity,mitleid
liberté,freedom,freiheit
expérience,experience,erfahrung
procès,trial,versuch
radio,radio,radio
hum,hum,summen
verra,will see,werden sehen
thé,tea,tee
partez,set off,losfahren
utilisé,used,gebraucht
mur,wall,wand
pose,laid,gelegt
revenu,income,einkommen
deuxième,second,zweite
bande,band,band
asseyez-vous,sit down,hinsetzen
certaines,some,manche
ridicule,ridiculous,lächerlich
nord,north,norden
appelez,call,anruf
copine,girlfriend,freundin
baiser,kiss,kuss
anglais,english,englisch
henry,henry,henry
toilettes,bathroom,badezimmer
portes,doors,türen
faudra,will have to,wird müssen
occupé,busy,beschäftigt
grands,tidy,ordentlich
and,and,und
dérange,disturbs,stört
rôle,role,rolle
censé,supposed,angeblich
savez-vous,do you know,wissen sie
james,james,james
reine,queen,königin
croit,believes,glaubt
cour,court,gericht
église,church,kirche
vide,empty,leer
obtenir,get,erhalten
conneries,bullshit,bullshit
ennuis,troubles,probleme
personnel,staff,personal
conduire,to drive,fahren
tombé,fall,fallen
sol,ground,boden
code,coded,codiert
huit,eight,acht
avions,planes,flugzeuge
espoir,hope,hoffnung
comprenez,understand,verstehen
spécial,special,besonders
vidéo,video,video
vêtements,clothes,kleidung
défense,defense,verteidigung
alex,alex,alex
sud,south,süd
grand-mère,grandmother,oma
match,match,übereinstimmen
bombe,bomb,bombe
intéresse,interested,interessiert
zone,area,bereich
tante,aunt,tante
paraît,appears,erscheint
excuser,excuse,entschuldigung
magasin,store,speichern
marier,marry,heiraten
chère,dear,liebling
aie,ouch,autsch
souvenir,memory,erinnerung
proche,close,schließen
revient,come back,komm zurück
danny,danny,danny
douleur,pain,schmerz
arrivera,to arrive at,ankommen in
presse,press,drücken sie
merveilleux,wonderful,wunderbar
asseoir,sit,sitzen
ravi,delighted,erfreut
aimais,loved,geliebt
h.,h.,h.
amérique,america,amerika
fenêtre,window,fenster
mien,mine,meins
terrain,ground,boden
sergent,sergeant,sergeant
peux-tu,can you,kannst du
projet,project,projekt
quartier,neighborhood,nachbarschaft
planète,planet,planet
certainement,certainly,sicherlich
rapide,fast,schnell
lorsque,when,wann
assurer,ensure,sicherstellen
rendu,rendering,rendering
mignon,cute,niedlich
tourne,turned,gedreht
danser,to dance,tanzen
bob,bob,bob
clients,clients,kunden
petites,small,klein
aimez,like,wie
présenter,to present,präsentieren
importance,importance,bedeutung
venus,venus,venus
jimmy,jimmy,jimmy
sache,beam,strahl
mérite,deserved,verdient
machine,machine,maschine
derniers,last,zuletzt
programme,program,programm
mesdames,ladies,damen
meilleurs,best,am besten
honnête,honest,ehrlich
essayez,try,versuchen
irai,go,gehen
connard,asshole,arschloch
occasion,occasion,gelegenheit
prouver,prove,beweisen
travaillé,work,arbeiten
glace,ice,eis
ayez,have,haben
parie,bett,bett
camion,truck,lkw
fier,proud,stolz
discuter,discuss,diskutieren
village,village,dorf
spectacle,show,zeigen
d,d,d
nul,null,null
rose,pink,rosa
touché,touch,berühren
mangé,eat,essen
vis,screw,schrauben
parole,speech,rede
rencontre,encounter,begegnen
apprécie,appreciate,anerkennen
jane,jane,jane
réalité,reality,wirklichkeit
savons,soaps,seifen
respect,respect,respektieren
remettre,to put back,zurücklegen
vacances,vacation,urlaub
